2023-03-10 06:28:02 status config-files avahi-daemon:arm64 0.8-5+deb11u1
2023-03-10 06:28:02 status triggers-pending dbus:arm64 1.12.24-0+deb11u1
2023-03-10 06:28:02 status not-installed avahi-daemon:arm64 <none>
2023-03-10 06:28:02 purge groff-base:arm64 1.22.4-6 <none>
2023-03-10 06:28:02 status config-files groff-base:arm64 1.22.4-6
2023-03-10 06:28:02 status not-installed groff-base:arm64 <none>
2023-03-10 06:28:02 purge libnss-mdns:arm64 0.14.1-2 <none>
2023-03-10 06:28:02 status config-files libnss-mdns:arm64 0.14.1-2
2023-03-10 06:28:02 status not-installed libnss-mdns:arm64 <none>
2023-03-10 06:28:02 startup packages configure
2023-03-10 06:28:02 trigproc dbus:arm64 1.12.24-0+deb11u1 <none>
2023-03-10 06:28:02 status half-configured dbus:arm64 1.12.24-0+deb11u1
2023-03-10 06:28:02 status installed dbus:arm64 1.12.24-0+deb11u1
